testname,baseURL,concurrentUsers,requests,delay,telemetryInApp,orderOfMagnitude,count,min,max,mean,std,total_heap_size_before,total_heap_size_executable_before,total_physical_size_before,total_available_size_before,used_heap_size_before,heap_size_limit_before,malloced_memory_before,peak_malloced_memory_before,does_zap_garbage_before,number_of_native_contexts_before,number_of_detached_contexts_before,total_global_handles_size_before,used_global_handles_size_before,external_memory_before,total_heap_size_after,total_heap_size_executable_after,total_physical_size_after,total_available_size_after,used_heap_size_after,heap_size_limit_after,malloced_memory_after,peak_malloced_memory_after,does_zap_garbage_after,number_of_native_contexts_after,number_of_detached_contexts_after,total_global_handles_size_after,used_global_handles_size_after,external_memory_after,start_timestamp,end_timestamp
"RegistryTELEMETRY",http://localhost:5400,1,30,variable,false,1,30,5136.76,9625.297,7418.037,1466.532,62.094,1.047,61.903,201.382,57.118,259,0.094,3.564,0,0,0,undefined,undefined,undefined,72.734,2.344,72.255,195.297,63.066,259,0.094,3.564,0,0,0,undefined,undefined,undefined,2024-08-30T23:43:05.434Z,2024-08-30T23:48:53.622Z
"RegistryTELEMETRY",http://localhost:5400,1,30,variable,false,128,23,11480.019,16379.32,12813.27,1246.199,62.094,1.047,61.851,201.329,57.125,259,0.094,3.507,0,0,0,undefined,undefined,undefined,60.48,2.344,58.956,204.309,55.222,259,0.094,4.187,0,0,0,undefined,undefined,undefined,2024-08-30T23:49:05.752Z,2024-08-30T23:57:58.081Z
"RegistryTELEMETRY",http://localhost:5400,1,30,variable,false,238,20,15231.148,19496.707,17073.269,1278.232,62.844,1.297,62.34,200.841,57.531,259,0.094,4.122,0,0,0,undefined,undefined,undefined,58.73,2.344,57.447,204.275,55.32,259,0.094,6.262,0,0,0,undefined,undefined,undefined,2024-08-30T23:58:05.216Z,2024-08-31T00:09:51.765Z
"RegistryINTERVAL",http://localhost:5400,1,10,variable,true,1,10,5218.964,9593.875,7539.25,1633.156,63.34,1.047,62.758,200.734,57.688,259,0.094,3.514,0,0,0,undefined,undefined,undefined,70.984,2.094,70.723,197.262,61.318,259,0.094,4.253,0,0,0,undefined,undefined,undefined,2024-08-31T00:10:05.029Z,2024-08-31T00:11:53.239Z
"RegistryINTERVAL",http://localhost:5400,1,10,variable,true,1,10,5080.34,10902.096,7538.543,1809.015,70.984,2.094,70.723,197.177,61.407,259,0.094,4.253,0,0,0,undefined,undefined,undefined,74.66,2.094,74.302,193.224,65.21,259,0.094,4.253,0,0,0,undefined,undefined,undefined,2024-08-31T00:12:05.242Z,2024-08-31T00:13:53.364Z
"RegistryINTERVAL",http://localhost:5400,1,10,variable,true,1,10,5119.081,9222.886,7505.371,1528.635,74.66,2.094,74.303,193.092,65.355,259,0.094,4.253,0,0,0,undefined,undefined,undefined,79.223,2.094,79.023,187.563,70.961,259,0.094,4.253,0,0,0,undefined,undefined,undefined,2024-08-31T00:14:05.371Z,2024-08-31T00:15:53.949Z
"RegistryINTERVAL",http://localhost:5400,1,10,variable,true,128,8,11826.035,13537.937,12276.488,561.693,62.594,1.047,62.144,200.986,57.406,259,0.094,3.856,0,0,0,undefined,undefined,undefined,61.48,2.344,60.054,202.852,56.6,259,0.094,3.856,0,0,0,undefined,undefined,undefined,2024-08-31T00:16:05.109Z,2024-08-31T00:19:55.731Z
"RegistryINTERVAL",http://localhost:5400,1,10,variable,true,128,8,11750.409,15950.46,12929.911,1476.342,61.48,2.344,60.166,202.67,56.781,259,0.094,3.856,0,0,0,undefined,undefined,undefined,61.48,2.094,60.328,202.837,56.75,259,0.094,4.008,0,0,0,undefined,undefined,undefined,2024-08-31T00:20:05.746Z,2024-08-31T00:23:56.579Z
"RegistryINTERVAL",http://localhost:5400,1,10,variable,true,128,8,11830.779,15946.76,12949.336,1488.428,61.48,2.094,60.399,202.745,56.841,259,0.094,4.008,0,0,0,undefined,undefined,undefined,81.98,2.344,81.735,181.851,76.476,259,0.094,4.008,0,0,0,undefined,undefined,undefined,2024-08-31T00:24:05.591Z,2024-08-31T00:27:58.095Z
"RegistryINTERVAL",http://localhost:5400,1,10,variable,true,238,7,15493.942,19754.539,17181.145,1568.634,61.563,1.047,61.147,201.87,56.531,259,0.094,3.755,0,0,0,undefined,undefined,undefined,61.23,2.344,60.106,202.225,57.122,259,0.094,5.013,0,0,0,undefined,undefined,undefined,2024-08-31T00:28:05.208Z,2024-08-31T00:32:56.666Z
"RegistryINTERVAL",http://localhost:5400,1,10,variable,true,238,7,15374.656,19953.256,17253.276,1734.735,61.23,2.344,60.281,202.104,57.306,259,0.094,5.013,0,0,0,undefined,undefined,undefined,61.23,2.594,59.776,202.516,56.938,259,0.094,5.013,0,0,0,undefined,undefined,undefined,2024-08-31T00:33:05.679Z,2024-08-31T00:37:58.270Z
"RegistryINTERVAL",http://localhost:5400,1,10,variable,true,238,7,15315.379,19040.367,16997.247,1406.138,61.23,2.594,59.849,202.423,57.029,259,0.094,5.013,0,0,0,undefined,undefined,undefined,62.48,2.344,61.241,201.001,58.499,259,0.094,5.013,0,0,0,undefined,undefined,undefined,2024-08-31T00:38:05.276Z,2024-08-31T00:42:57.893Z
