problemSize,time
0,8369
1,5219
2,8249
3,5324
4,7285
5,9362
6,6245
7,7431
8,6293
9,7313
10,9493
11,6357
12,7354
13,6280
14,7332
15,10685
16,6438
17,7326
18,6338
19,7429
20,10088
21,7036
22,7720
23,7506
24,8067
25,9870
26,6458
27,7495
28,6425
29,7498
30,9747
31,6497
32,7520
33,6402
34,7589
35,9773
36,6546
37,7610
38,6700
39,8829
40,10238
41,6591
42,7746
43,6930
44,7938
45,10581
46,7918
47,8626
48,8331
49,10498
50,9892
51,6982
52,8025
53,7258
54,8299
55,9993
56,7162
57,8290
58,7454
59,8471
60,10162
61,7305
62,8396
63,7608
64,9711
65,10255
66,7772
67,8706
68,7896
69,9935
70,11584
71,9669
72,9455
73,11037
74,10352
75,7739
76,9028
77,8261
78,10442
79,7977
80,9163
81,9487
82,11543
83,8171
84,10219
85,9564
86,10630
87,8268
88,9338
89,10746
90,12087
91,11512
92,11649
93,10762
94,9490
95,9552
96,8955
97,10854
98,8612
99,10703
100,10970
101,10702
102,11065
103,11012
104,10967
105,11305
106,12843
107,12785
108,12711
109,11086
110,11195
111,12059
112,11544
113,11350
114,11760
115,12258
116,11316
117,12636
118,12332
119,11455
